# Particle 0, r = 1.00000 AU, Hd = 1.713804e-03 AU, sigma_dust = 3.330000e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00856902  2.88876377e-11
 -0.00839591  4.76252330e-11
 -0.00822280  7.77196927e-11
 -0.00804969  1.25543407e-10
 -0.00787658  2.00736166e-10
 -0.00770346  3.17706583e-10
 -0.00753035  4.97732131e-10
 -0.00735724  7.71851971e-10
 -0.00718413  1.18478960e-09
 -0.00701102  1.80018577e-09
 -0.00683791  2.70746152e-09
 -0.00666479  4.03065973e-09
 -0.00649168  5.93962267e-09
 -0.00631857  8.66384055e-09
 -0.00614546  1.25092399e-08
 -0.00597235  1.78780550e-08
 -0.00579924  2.52917273e-08
 -0.00562613  3.54164958e-08
 -0.00545301  4.90909643e-08
 -0.00527990  6.73544685e-08
 -0.00510679  9.14745199e-08
 -0.00493368  1.22971010e-07
 -0.00476057  1.63634253e-07
 -0.00458746  2.15533396e-07
 -0.00441434  2.81011310e-07
 -0.00424123  3.62661877e-07
 -0.00406812  4.63285689e-07
 -0.00389501  5.85820738e-07
 -0.00372190  7.33245614e-07
 -0.00354879  9.08454293e-07
 -0.00337568  1.11410357e-06
 -0.00320256  1.35243663e-06
 -0.00302945  1.62508904e-06
 -0.00285634  1.93288614e-06
 -0.00268323  2.27564367e-06
 -0.00251012  2.65198536e-06
 -0.00233701  3.05919288e-06
 -0.00216389  3.49310367e-06
 -0.00199078  3.94807110e-06
 -0.00181767  4.41699931e-06
 -0.00164456  4.89146075e-06
 -0.00147145  5.36189976e-06
 -0.00129834  5.81791919e-06
 -0.00112523  6.24864071e-06
 -0.00095211  6.64312308e-06
 -0.00077900  6.99081678e-06
 -0.00060589  7.28202921e-06
 -0.00043278  7.50837213e-06
 -0.00025967  7.66316254e-06
 -0.00008656  7.74175034e-06
  0.00008656  7.74175034e-06
  0.00025967  7.66316254e-06
  0.00043278  7.50837213e-06
  0.00060589  7.28202921e-06
  0.00077900  6.99081678e-06
  0.00095211  6.64312308e-06
  0.00112523  6.24864071e-06
  0.00129834  5.81791919e-06
  0.00147145  5.36189976e-06
  0.00164456  4.89146075e-06
  0.00181767  4.41699931e-06
  0.00199078  3.94807110e-06
  0.00216389  3.49310367e-06
  0.00233701  3.05919288e-06
  0.00251012  2.65198536e-06
  0.00268323  2.27564367e-06
  0.00285634  1.93288614e-06
  0.00302945  1.62508904e-06
  0.00320256  1.35243663e-06
  0.00337568  1.11410357e-06
  0.00354879  9.08454293e-07
  0.00372190  7.33245614e-07
  0.00389501  5.85820738e-07
  0.00406812  4.63285689e-07
  0.00424123  3.62661877e-07
  0.00441434  2.81011310e-07
  0.00458746  2.15533396e-07
  0.00476057  1.63634253e-07
  0.00493368  1.22971010e-07
  0.00510679  9.14745199e-08
  0.00527990  6.73544685e-08
  0.00545301  4.90909643e-08
  0.00562613  3.54164958e-08
  0.00579924  2.52917273e-08
  0.00597235  1.78780550e-08
  0.00614546  1.25092399e-08
  0.00631857  8.66384055e-09
  0.00649168  5.93962267e-09
  0.00666479  4.03065973e-09
  0.00683791  2.70746152e-09
  0.00701102  1.80018577e-09
  0.00718413  1.18478960e-09
  0.00735724  7.71851971e-10
  0.00753035  4.97732131e-10
  0.00770346  3.17706583e-10
  0.00787658  2.00736166e-10
  0.00804969  1.25543407e-10
  0.00822280  7.77196927e-11
  0.00839591  4.76252330e-11
  0.00856902  2.88876377e-11

# Particle 1, r = 1.04905 AU, Hd = 1.797649e-03 AU, sigma_dust = 3.251220e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00898824  2.68887482e-11
 -0.00880666  4.43297895e-11
 -0.00862508  7.23418532e-11
 -0.00844350  1.16856390e-10
 -0.00826192  1.86846161e-10
 -0.00808034  2.95722772e-10
 -0.00789876  4.63291394e-10
 -0.00771718  7.18443423e-10
 -0.00753560  1.10280770e-09
 -0.00735402  1.67562133e-09
 -0.00717244  2.52011784e-09
 -0.00699086  3.75175692e-09
 -0.00680927  5.52862854e-09
 -0.00662769  8.06434328e-09
 -0.00644611  1.16436590e-08
 -0.00626453  1.66409771e-08
 -0.00608295  2.35416580e-08
 -0.00590137  3.29658399e-08
 -0.00571979  4.56940990e-08
 -0.00553821  6.26938540e-08
 -0.00535663  8.51449107e-08
 -0.00517505  1.14461991e-07
 -0.00499347  1.52311527e-07
 -0.00481189  2.00619492e-07
 -0.00463031  2.61566641e-07
 -0.00444873  3.37567370e-07
 -0.00426715  4.31228485e-07
 -0.00408556  5.45284681e-07
 -0.00390398  6.82508444e-07
 -0.00372240  8.45593502e-07
 -0.00354082  1.03701281e-06
 -0.00335924  1.25885434e-06
 -0.00317766  1.51264047e-06
 -0.00299608  1.79913945e-06
 -0.00281450  2.11817976e-06
 -0.00263292  2.46848036e-06
 -0.00245134  2.84751103e-06
 -0.00226976  3.25139722e-06
 -0.00208818  3.67488303e-06
 -0.00190660  4.11136360e-06
 -0.00172502  4.55299453e-06
 -0.00154344  4.99088136e-06
 -0.00136185  5.41534637e-06
 -0.00118027  5.81626398e-06
 -0.00099869  6.18345001e-06
 -0.00081711  6.50708493e-06
 -0.00063553  6.77814682e-06
 -0.00045395  6.98882787e-06
 -0.00027237  7.13290751e-06
 -0.00009079  7.20605740e-06
  0.00009079  7.20605740e-06
  0.00027237  7.13290751e-06
  0.00045395  6.98882787e-06
  0.00063553  6.77814682e-06
  0.00081711  6.50708493e-06
  0.00099869  6.18345001e-06
  0.00118027  5.81626398e-06
  0.00136185  5.41534637e-06
  0.00154344  4.99088136e-06
  0.00172502  4.55299453e-06
  0.00190660  4.11136360e-06
  0.00208818  3.67488303e-06
  0.00226976  3.25139722e-06
  0.00245134  2.84751103e-06
  0.00263292  2.46848036e-06
  0.00281450  2.11817976e-06
  0.00299608  1.79913945e-06
  0.00317766  1.51264047e-06
  0.00335924  1.25885434e-06
  0.00354082  1.03701281e-06
  0.00372240  8.45593502e-07
  0.00390398  6.82508444e-07
  0.00408556  5.45284681e-07
  0.00426715  4.31228485e-07
  0.00444873  3.37567370e-07
  0.00463031  2.61566641e-07
  0.00481189  2.00619492e-07
  0.00499347  1.52311527e-07
  0.00517505  1.14461991e-07
  0.00535663  8.51449107e-08
  0.00553821  6.26938540e-08
  0.00571979  4.56940990e-08
  0.00590137  3.29658399e-08
  0.00608295  2.35416580e-08
  0.00626453  1.66409771e-08
  0.00644611  1.16436590e-08
  0.00662769  8.06434328e-09
  0.00680927  5.52862854e-09
  0.00699086  3.75175692e-09
  0.00717244  2.52011784e-09
  0.00735402  1.67562133e-09
  0.00753560  1.10280770e-09
  0.00771718  7.18443423e-10
  0.00789876  4.63291394e-10
  0.00808034  2.95722772e-10
  0.00826192  1.86846161e-10
  0.00844350  1.16856390e-10
  0.00862508  7.23418532e-11
  0.00880666  4.43297895e-11
  0.00898824  2.68887482e-11

# Particle 2, r = 1.09810 AU, Hd = 1.859061e-03 AU, sigma_dust = 3.177779e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00929531  2.54131815e-11
 -0.00910752  4.18971154e-11
 -0.00891974  6.83719686e-11
 -0.00873195  1.10443693e-10
 -0.00854417  1.76592654e-10
 -0.00835639  2.79494472e-10
 -0.00816860  4.37867475e-10
 -0.00798082  6.79017594e-10
 -0.00779303  1.04228921e-09
 -0.00760525  1.58366871e-09
 -0.00741747  2.38182200e-09
 -0.00722968  3.54587275e-09
 -0.00704190  5.22523546e-09
 -0.00685411  7.62179845e-09
 -0.00666633  1.10046930e-08
 -0.00647855  1.57277747e-08
 -0.00629076  2.22497687e-08
 -0.00610298  3.11567822e-08
 -0.00591519  4.31865561e-08
 -0.00572741  5.92534201e-08
 -0.00553963  8.04724360e-08
 -0.00535184  1.08180691e-07
 -0.00516406  1.43953168e-07
 -0.00497627  1.89610149e-07
 -0.00478849  2.47212718e-07
 -0.00460071  3.19042775e-07
 -0.00441292  4.07564074e-07
 -0.00422514  5.15361238e-07
 -0.00403735  6.45054610e-07
 -0.00384957  7.99190092e-07
 -0.00366179  9.80104933e-07
 -0.00347400  1.18977252e-06
 -0.00328622  1.42963170e-06
 -0.00309844  1.70040856e-06
 -0.00291065  2.00194097e-06
 -0.00272287  2.33301822e-06
 -0.00253508  2.69124893e-06
 -0.00234730  3.07297116e-06
 -0.00215952  3.47321745e-06
 -0.00197173  3.88574539e-06
 -0.00178395  4.30314106e-06
 -0.00159616  4.71699809e-06
 -0.00140838  5.11816985e-06
 -0.00122060  5.49708640e-06
 -0.00103281  5.84412247e-06
 -0.00084503  6.14999736e-06
 -0.00065724  6.40618426e-06
 -0.00046946  6.60530382e-06
 -0.00028168  6.74147684e-06
 -0.00009389  6.81061250e-06
  0.00009389  6.81061250e-06
  0.00028168  6.74147684e-06
  0.00046946  6.60530382e-06
  0.00065724  6.40618426e-06
  0.00084503  6.14999736e-06
  0.00103281  5.84412247e-06
  0.00122060  5.49708640e-06
  0.00140838  5.11816985e-06
  0.00159616  4.71699809e-06
  0.00178395  4.30314106e-06
  0.00197173  3.88574539e-06
  0.00215952  3.47321745e-06
  0.00234730  3.07297116e-06
  0.00253508  2.69124893e-06
  0.00272287  2.33301822e-06
  0.00291065  2.00194097e-06
  0.00309844  1.70040856e-06
  0.00328622  1.42963170e-06
  0.00347400  1.18977252e-06
  0.00366179  9.80104933e-07
  0.00384957  7.99190092e-07
  0.00403735  6.45054610e-07
  0.00422514  5.15361238e-07
  0.00441292  4.07564074e-07
  0.00460071  3.19042775e-07
  0.00478849  2.47212718e-07
  0.00497627  1.89610149e-07
  0.00516406  1.43953168e-07
  0.00535184  1.08180691e-07
  0.00553963  8.04724360e-08
  0.00572741  5.92534201e-08
  0.00591519  4.31865561e-08
  0.00610298  3.11567822e-08
  0.00629076  2.22497687e-08
  0.00647855  1.57277747e-08
  0.00666633  1.10046930e-08
  0.00685411  7.62179845e-09
  0.00704190  5.22523546e-09
  0.00722968  3.54587275e-09
  0.00741747  2.38182200e-09
  0.00760525  1.58366871e-09
  0.00779303  1.04228921e-09
