index,radius_AU,mass,size
0,1.771576e+00,0.000000e+00,2.846895e-99
1,1.858918e+00,0.000000e+00,
2,1.258426e+00,0.000000e+00,
3,1.279957e+00,0.000000e+00,
4,1.259465e+00,0.000000e+00,
5,1.277090e+00,0.000000e+00,
6,1.260277e+00,0.000000e+00,
7,1.274974e+00,0.000000e+00,
8,1.260924e+00,0.000000e+00,0.000000e+00
9,1.273368e+00,0.000000e+00,0.000000e+00
10,1.261448e+00,0.000000e+00,0.000000e+00
11,1.261673e+00,0.000000e+00,0.000000e+00
12,1.261877e+00,0.000000e+00,0.000000e+00
13,1.262064e+00,0.000000e+00,0.000000e+00
14,1.270716e+00,0.000000e+00,0.000000e+00
15,1.262391e+00,0.000000e+00,0.000000e+00
16,1.262534e+00,0.000000e+00,0.000000e+00
17,1.262666e+00,0.000000e+00,0.000000e+00
18,1.269410e+00,0.000000e+00,0.000000e+00
19,1.262901e+00,0.000000e+00,0.000000e+00
20,1.263006e+00,0.000000e+00,0.000000e+00
21,1.263103e+00,0.000000e+00,0.000000e+00
22,1.263193e+00,0.000000e+00,0.000000e+00
23,1.268324e+00,0.000000e+00,0.000000e+00
24,1.263356e+00,0.000000e+00,0.000000e+00
25,1.263429e+00,0.000000e+00,0.000000e+00
26,1.263498e+00,0.000000e+00,0.000000e+00
27,1.263562e+00,0.000000e+00,0.000000e+00
28,1.267598e+00,0.000000e+00,0.000000e+00
29,1.263680e+00,0.000000e+00,0.000000e+00
30,1.263733e+00,0.000000e+00,0.000000e+00
31,1.267272e+00,0.000000e+00,2.355464e-307
32,1.263831e+00,0.000000e+00,1.011664e-297
33,1.263876e+00,0.000000e+00,1.237310e-297
34,1.263918e+00,0.000000e+00,1.237310e-297
35,1.263958e+00,0.000000e+00,3.705492e-322
36,1.266852e+00,0.000000e+00,3.071053e+12
37,1.264033e+00,0.000000e+00,2.846889e-99
38,1.264067e+00,0.000000e+00,1.699796e-243
39,1.264099e+00,0.000000e+00,-3.079226e-244
40,1.264130e+00,0.000000e+00,-2.040966e-240
41,1.264160e+00,0.000000e+00,3.750460e-241
42,1.264188e+00,0.000000e+00,3.934442e-242
43,1.264214e+00,0.000000e+00,-7.379225e-243
44,1.264240e+00,0.000000e+00,-7.305019e-244
45,1.264264e+00,0.000000e+00,1.444189e-244
46,1.264287e+00,0.000000e+00,9.423113e-241
47,1.264309e+00,0.000000e+00,-1.666584e-241
48,1.264331e+00,0.000000e+00,-1.776188e-242
49,1.264351e+00,0.000000e+00,3.384255e-243
50,1.264370e+00,0.000000e+00,3.250024e-244
51,1.264389e+00,0.000000e+00,-4.066227e-240
52,1.264407e+00,0.000000e+00,-4.100249e-241
53,1.264424e+00,0.000000e+00,2.618150e-307
54,1.264441e+00,0.000000e+00,1.237310e-297
55,1.264456e+00,0.000000e+00,1.237310e-297
56,1.264472e+00,0.000000e+00,1.237310e-297
57,1.264486e+00,0.000000e+00,3.705492e-322
58,1.264500e+00,0.000000e+00,0.000000e+00
59,1.264514e+00,0.000000e+00,0.000000e+00
60,1.264527e+00,0.000000e+00,0.000000e+00
61,1.264539e+00,0.000000e+00,0.000000e+00
62,1.265829e+00,0.000000e+00,0.000000e+00
63,1.264563e+00,0.000000e+00,0.000000e+00
64,1.264574e+00,0.000000e+00,0.000000e+00
65,1.264585e+00,0.000000e+00,0.000000e+00
66,1.264596e+00,0.000000e+00,0.000000e+00
67,1.264606e+00,0.000000e+00,0.000000e+00
68,1.264616e+00,0.000000e+00,0.000000e+00
69,1.264625e+00,0.000000e+00,0.000000e+00
70,1.264634e+00,0.000000e+00,0.000000e+00
71,1.264643e+00,0.000000e+00,0.000000e+00
72,1.265657e+00,0.000000e+00,0.000000e+00
73,1.264660e+00,0.000000e+00,0.000000e+00
74,1.264668e+00,0.000000e+00,0.000000e+00
75,1.264676e+00,0.000000e+00,0.000000e+00
76,1.264683e+00,0.000000e+00,0.000000e+00
77,1.265591e+00,0.000000e+00,0.000000e+00
78,1.264698e+00,0.000000e+00,0.000000e+00
79,1.264704e+00,0.000000e+00,0.000000e+00
80,1.264711e+00,0.000000e+00,0.000000e+00
81,1.264718e+00,0.000000e+00,0.000000e+00
82,1.264724e+00,0.000000e+00,0.000000e+00
83,1.264730e+00,0.000000e+00,0.000000e+00
84,1.264736e+00,0.000000e+00,0.000000e+00
85,1.264742e+00,0.000000e+00,0.000000e+00
86,1.264747e+00,0.000000e+00,0.000000e+00
87,1.264753e+00,0.000000e+00,0.000000e+00
88,1.264758e+00,0.000000e+00,0.000000e+00
89,1.264763e+00,0.000000e+00,0.000000e+00
90,1.264768e+00,0.000000e+00,0.000000e+00
91,1.264773e+00,0.000000e+00,0.000000e+00
92,1.264778e+00,0.000000e+00,0.000000e+00
93,1.264782e+00,0.000000e+00,0.000000e+00
94,1.264787e+00,0.000000e+00,0.000000e+00
95,1.264791e+00,0.000000e+00,0.000000e+00
96,1.264795e+00,0.000000e+00,0.000000e+00
97,1.264800e+00,0.000000e+00,0.000000e+00
98,1.264804e+00,0.000000e+00,0.000000e+00
99,1.264808e+00,0.000000e+00,0.000000e+00
100,1.264811e+00,0.000000e+00,0.000000e+00
101,1.264815e+00,0.000000e+00,0.000000e+00
102,1.264819e+00,0.000000e+00,0.000000e+00
103,1.264822e+00,0.000000e+00,0.000000e+00
104,1.264826e+00,0.000000e+00,0.000000e+00
105,1.264829e+00,0.000000e+00,0.000000e+00
106,1.264833e+00,0.000000e+00,0.000000e+00
107,1.264836e+00,0.000000e+00,0.000000e+00
108,1.264839e+00,0.000000e+00,0.000000e+00
109,1.264842e+00,0.000000e+00,0.000000e+00
110,1.264845e+00,0.000000e+00,0.000000e+00
111,1.264848e+00,0.000000e+00,0.000000e+00
112,1.264851e+00,0.000000e+00,0.000000e+00
113,1.264854e+00,0.000000e+00,0.000000e+00
114,1.264857e+00,0.000000e+00,0.000000e+00
115,1.264859e+00,0.000000e+00,0.000000e+00
