# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 1.500323e+04 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.30517e-06     6.592866e-08      -7.594989e-08
1.049049e+00    3.22632e-06     5.847854e-08      -1.406047e-07
1.098098e+00    3.15164e-06     5.213560e-08      -1.201029e-07
1.147147e+00    3.08066e-06     4.669668e-08      -1.033011e-07
1.196196e+00    3.01297e-06     4.200197e-08      -8.942182e-08
1.245245e+00    2.94815e-06     3.792457e-08      -7.787209e-08
1.294294e+00    2.88586e-06     3.436286e-08      -6.819466e-08
1.343343e+00    2.82574e-06     3.123480e-08      -6.003359e-08
1.392392e+00    2.76749e-06     2.847368e-08      -5.310919e-08
1.441441e+00    2.71083e-06     2.602489e-08      -4.719975e-08
1.490490e+00    2.65551e-06     2.384348e-08      -4.212841e-08
1.539540e+00    2.6013e-06      2.189218e-08      -3.775163e-08
1.588589e+00    2.54803e-06     2.014011e-08      -3.395355e-08
1.637638e+00    2.49555e-06     1.856140e-08      -3.064013e-08
1.686687e+00    2.44375e-06     1.713438e-08      -2.773295e-08
1.735736e+00    2.39258e-06     1.584085e-08      -2.516739e-08
1.784785e+00    2.34201e-06     1.466550e-08      -2.288960e-08
1.833834e+00    2.2921e-06      1.359542e-08      -2.085454e-08
1.882883e+00    2.24293e-06     1.261971e-08      -1.902433e-08
1.931932e+00    2.19468e-06     1.172917e-08      -1.736707e-08
1.980981e+00    2.14756e-06     1.091604e-08      -1.585585e-08
2.030030e+00    2.10187e-06     1.017374e-08      -1.446798e-08
2.079079e+00    2.05796e-06     9.496754e-09      -1.318443e-08
2.128128e+00    2.01626e-06     8.880376e-09      -1.198936e-08
2.177177e+00    1.97726e-06     8.320621e-09      -1.086977e-08
2.226226e+00    1.94149e-06     7.814072e-09      -9.815276e-09
2.275275e+00    1.90956e-06     7.357761e-09      -8.817904e-09
2.324324e+00    1.88208e-06     6.949052e-09      -7.872030e-09
2.373373e+00    1.8597e-06      6.585530e-09      -6.974327e-09
2.422422e+00    1.84303e-06     6.264884e-09      -6.123776e-09
2.471471e+00    1.83265e-06     5.984799e-09      -5.321692e-09
2.520521e+00    1.82906e-06     5.742836e-09      -4.571838e-09
2.569570e+00    1.83257e-06     5.536310e-09      -3.880381e-09
2.618619e+00    1.84334e-06     5.362178e-09      -3.255793e-09
2.667668e+00    1.86122e-06     5.216923e-09      -2.708679e-09
2.716717e+00    1.88572e-06     5.096462e-09      -2.251207e-09
2.765766e+00    1.91593e-06     4.996084e-09      -1.896186e-09
2.814815e+00    1.95048e-06     4.910450e-09      -1.655608e-09
2.863864e+00    1.98748e-06     4.833672e-09      -1.538586e-09
2.912913e+00    2.02459e-06     4.759517e-09      -1.548731e-09
2.961962e+00    2.05914e-06     4.681745e-09      -1.681224e-09
3.011011e+00    2.08829e-06     4.594592e-09      -1.920157e-09
3.060060e+00    2.10937e-06     4.493381e-09      -2.237063e-09
3.109109e+00    2.12023e-06     4.375141e-09      -2.591796e-09
3.158158e+00    2.11965e-06     4.239131e-09      -2.936696e-09
3.207207e+00    2.10758e-06     4.087057e-09      -3.224161e-09
3.256256e+00    2.08525e-06     3.922847e-09      -3.416198e-09
3.305305e+00    2.05494e-06     3.751934e-09      -3.492899e-09
3.354354e+00    2.01951e-06     3.580200e-09      -3.456241e-09
3.403403e+00    1.98184e-06     3.412883e-09      -3.327130e-09
3.452452e+00    1.94432e-06     3.253815e-09      -3.136778e-09
3.501502e+00    1.9086e-06      3.105172e-09      -2.917072e-09
3.550551e+00    1.87553e-06     2.967656e-09      -2.692897e-09
3.599600e+00    1.84544e-06     2.841003e-09      -2.479664e-09
3.648649e+00    1.81826e-06     2.724405e-09      -2.285032e-09
3.697698e+00    1.79375e-06     2.616846e-09      -2.111195e-09
3.746747e+00    1.77159e-06     2.517301e-09      -1.957468e-09
3.795796e+00    1.75148e-06     2.424822e-09      -1.821909e-09
3.844845e+00    1.73312e-06     2.338575e-09      -1.702181e-09
3.893894e+00    1.71625e-06     2.257842e-09      -1.596023e-09
3.942943e+00    1.70066e-06     2.182008e-09      -1.501430e-09
3.991992e+00    1.68615e-06     2.110554e-09      -1.416733e-09
4.041041e+00    1.67256e-06     2.043030e-09      -1.340411e-09
4.090090e+00    1.65976e-06     1.979062e-09      -1.271202e-09
4.139139e+00    1.64764e-06     1.918327e-09      -1.208258e-09
4.188188e+00    1.6361e-06      1.860535e-09      -1.150547e-09
4.237237e+00    1.62508e-06     1.805461e-09      -1.097364e-09
4.286286e+00    1.61449e-06     1.752885e-09      -1.048348e-09
4.335335e+00    1.60429e-06     1.702620e-09      -1.002795e-09
4.384384e+00    1.59444e-06     1.654513e-09      -9.602799e-10
4.433433e+00    1.58489e-06     1.608418e-09      -9.206324e-10
4.482482e+00    1.57561e-06     1.564201e-09      -8.834019e-10
4.531532e+00    1.56659e-06     1.521758e-09      -8.484249e-10
4.580581e+00    1.55779e-06     1.480972e-09      -8.155735e-10
4.629630e+00    1.54918e-06     1.441752e-09      -7.844127e-10
4.678679e+00    1.54078e-06     1.404023e-09      -7.549581e-10
4.727728e+00    1.53254e-06     1.367692e-09      -7.270776e-10
4.776777e+00    1.52448e-06     1.332698e-09      -7.005686e-10
4.825826e+00    1.51657e-06     1.298967e-09      -6.754909e-10
4.874875e+00    1.50879e-06     1.266433e-09      -6.515863e-10
4.923924e+00    1.50116e-06     1.235048e-09      -6.287707e-10
4.972973e+00    1.49365e-06     1.204752e-09      -6.070536e-10
5.022022e+00    1.48627e-06     1.175497e-09      -5.862900e-10
5.071071e+00    1.47902e-06     1.147238e-09      -5.664971e-10
5.120120e+00    1.47187e-06     1.119925e-09      -5.476189e-10
5.169169e+00    1.46483e-06     1.093518e-09      -5.295280e-10
5.218218e+00    1.4579e-06      1.067979e-09      -5.121811e-10
