# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Initial gas profile
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.33e-06        6.642389e-08    -7.639404e-08  
1.049049e+00    3.25122e-06     5.892978e-08    -1.412452e-07  
1.098098e+00    3.17778e-06     5.256800e-08    -1.203087e-07  
1.147147e+00    3.1091e-06      4.712773e-08    -1.032009e-07  
1.196196e+00    3.04469e-06     4.244419e-08    -8.909927e-08  
1.245245e+00    2.98412e-06     3.838726e-08    -7.738241e-08  
1.294294e+00    2.92703e-06     3.485312e-08    -6.757515e-08  
1.343343e+00    2.8731e-06      3.175826e-08    -5.931036e-08  
1.392392e+00    2.82204e-06     2.903489e-08    -5.230149e-08  
1.441441e+00    2.77361e-06     2.662759e-08    -4.632288e-08  
1.490490e+00    2.72759e-06     2.449070e-08    -4.119526e-08  
1.539540e+00    2.68379e-06     2.258641e-08    -3.677512e-08  
1.588589e+00    2.64203e-06     2.088314e-08    -3.294667e-08  
1.637638e+00    2.60217e-06     1.935440e-08    -2.961591e-08  
1.686687e+00    2.56405e-06     1.797787e-08    -2.670597e-08  
1.735736e+00    2.52757e-06     1.673460e-08    -2.415363e-08  
1.784785e+00    2.49259e-06     1.560845e-08    -2.190661e-08  
1.833834e+00    2.45903e-06     1.458560e-08    -1.992142e-08  
1.882883e+00    2.42679e-06     1.365419e-08    -1.816170e-08  
1.931932e+00    2.39579e-06     1.280397e-08    -1.659694e-08  
1.980981e+00    2.36594e-06     1.202606e-08    -1.520136e-08  
2.030030e+00    2.33718e-06     1.131275e-08    -1.395312e-08  
2.079079e+00    2.30945e-06     1.065729e-08    -1.283366e-08  
2.128128e+00    2.28268e-06     1.005379e-08    -1.182709e-08  
2.177177e+00    2.25682e-06     9.497075e-09    -1.091980e-08  
2.226226e+00    2.23182e-06     8.982579e-09    -1.010009e-08  
2.275275e+00    2.20763e-06     8.506275e-09    -9.357836e-09  
2.324324e+00    2.18422e-06     8.064594e-09    -8.684275e-09  
2.373373e+00    2.16153e-06     7.654364e-09    -8.071794e-09  
2.422422e+00    2.13953e-06     7.272766e-09    -7.513758e-09  
2.471471e+00    2.1182e-06      6.917279e-09    -7.004366e-09  
2.520521e+00    2.09749e-06     6.585651e-09    -6.538532e-09  
2.569570e+00    2.07737e-06     6.275862e-09    -6.111790e-09  
2.618619e+00    2.05782e-06     5.986096e-09    -5.720203e-09  
2.667668e+00    2.03882e-06     5.714720e-09    -5.360296e-09  
2.716717e+00    2.02033e-06     5.460261e-09    -5.028990e-09  
2.765766e+00    2.00233e-06     5.221386e-09    -4.723556e-09  
2.814815e+00    1.98481e-06     4.996889e-09    -4.441566e-09  
2.863864e+00    1.96774e-06     4.785677e-09    -4.180858e-09  
2.912913e+00    1.9511e-06      4.586755e-09    -3.939502e-09  
2.961962e+00    1.93488e-06     4.399219e-09    -3.715770e-09  
3.011011e+00    1.91906e-06     4.222245e-09    -3.508114e-09  
3.060060e+00    1.90362e-06     4.055080e-09    -3.315144e-09  
3.109109e+00    1.88854e-06     3.897036e-09    -3.135611e-09  
3.158158e+00    1.87382e-06     3.747483e-09    -2.968389e-09  
3.207207e+00    1.85943e-06     3.605843e-09    -2.812460e-09  
3.256256e+00    1.84538e-06     3.471586e-09    -2.666908e-09  
3.305305e+00    1.83163e-06     3.344224e-09    -2.530899e-09  
3.354354e+00    1.81819e-06     3.223309e-09    -2.403681e-09  
3.403403e+00    1.80504e-06     3.108427e-09    -2.284568e-09  
3.452452e+00    1.79217e-06     2.999197e-09    -2.172939e-09  
3.501502e+00    1.77958e-06     2.895266e-09    -2.068226e-09  
3.550551e+00    1.76724e-06     2.796308e-09    -1.969913e-09  
3.599600e+00    1.75516e-06     2.702022e-09    -1.877528e-09  
3.648649e+00    1.74332e-06     2.612126e-09    -1.790640e-09  
3.697698e+00    1.73172e-06     2.526363e-09    -1.708854e-09  
3.746747e+00    1.72035e-06     2.444491e-09    -1.631810e-09  
3.795796e+00    1.7092e-06      2.366286e-09    -1.559175e-09  
3.844845e+00    1.69826e-06     2.291539e-09    -1.490644e-09  
3.893894e+00    1.68753e-06     2.220056e-09    -1.425939e-09  
3.942943e+00    1.677e-06       2.151657e-09    -1.364800e-09  
3.991992e+00    1.66667e-06     2.086172e-09    -1.306991e-09  
4.041041e+00    1.65652e-06     2.023444e-09    -1.252293e-09  
4.090090e+00    1.64656e-06     1.963325e-09    -1.200503e-09  
4.139139e+00    1.63678e-06     1.905677e-09    -1.151435e-09  
4.188188e+00    1.62716e-06     1.850371e-09    -1.104915e-09  
4.237237e+00    1.61772e-06     1.797287e-09    -1.060785e-09  
4.286286e+00    1.60844e-06     1.746310e-09    -1.018895e-09  
4.335335e+00    1.59931e-06     1.697335e-09    -9.791085e-10  
4.384384e+00    1.59034e-06     1.650261e-09    -9.412973e-10  
4.433433e+00    1.58152e-06     1.604996e-09    -9.053431e-10  
4.482482e+00    1.57284e-06     1.561449e-09    -8.711355e-10  
4.531532e+00    1.56431e-06     1.519539e-09    -8.385720e-10  
4.580581e+00    1.55591e-06     1.479187e-09    -8.075570e-10  
4.629630e+00    1.54764e-06     1.440319e-09    -7.780015e-10  
4.678679e+00    1.53951e-06     1.402866e-09    -7.498223e-10  
4.727728e+00    1.5315e-06      1.366763e-09    -7.229419e-10  
4.776777e+00    1.52362e-06     1.331947e-09    -6.972880e-10  
4.825826e+00    1.51586e-06     1.298360e-09    -6.727928e-10  
4.874875e+00    1.50821e-06     1.265947e-09    -6.493930e-10  
4.923924e+00    1.50068e-06     1.234656e-09    -6.270292e-10  
4.972973e+00    1.49326e-06     1.204437e-09    -6.056460e-10  
5.022022e+00    1.48595e-06     1.175243e-09    -5.851914e-10  
5.071071e+00    1.47875e-06     1.147031e-09    -5.656164e-10  
5.120120e+00    1.47165e-06     1.119757e-09    -5.468754e-10  
5.169169e+00    1.46465e-06     1.093383e-09    -5.289253e-10  
5.218218e+00    1.45775e-06     1.067871e-09    -5.117257e-10  
5.267267e+00    1.45095e-06     1.043184e-09    -4.952385e-10  
5.316316e+00    1.44424e-06     1.019289e-09    -4.794281e-10  
5.365365e+00    1.43762e-06     9.961530e-10    -4.642608e-10  
5.414414e+00    1.4311e-06      9.737457e-10    -4.497049e-10  
5.463463e+00    1.42466e-06     9.520378e-10    -4.357306e-10  
5.512513e+00    1.4183e-06      9.310014e-10    -4.223097e-10  
5.561562e+00    1.41204e-06     9.106100e-10    -4.094156e-10  
5.610611e+00    1.40585e-06     8.908385e-10    -3.970233e-10  
5.659660e+00    1.39975e-06     8.716628e-10    -3.851091e-10  
5.708709e+00    1.39372e-06     8.530600e-10    -3.736508e-10  
5.757758e+00    1.38777e-06     8.350084e-10    -3.626270e-10  
5.806807e+00    1.3819e-06      8.174870e-10    -3.520180e-10  
5.855856e+00    1.3761e-06      8.004761e-10    -3.418047e-10  
5.904905e+00    1.37037e-06     7.839566e-10    -3.319692e-10  
5.953954e+00    1.36471e-06     7.679105e-10    -3.224947e-10  
6.003003e+00    1.35913e-06     7.523205e-10    -3.133650e-10  
